[0113/153038.391:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_5.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.391:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_5.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.410:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.412:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.412:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_3.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.430:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.432:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.432:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_2.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.450:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.453:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.453:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/bottle_1.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.479:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.484:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/security_camera.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.485:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/security_camera.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.534:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.541:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/door.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.541:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/door.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
[0113/153038.581:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/libs/ColladaLoader.js (3660)
[0113/153038.582:INFO:CONSOLE(255)] "Loaded: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/monitor_on.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (255)
[0113/153038.582:INFO:CONSOLE(271)] "load end: file:C:/Users/ensar/Desktop/modelling/hairsalon1/3d/monitor_on.dae", source: file:///C:/Program%20Files/AnyLogic%208.8%20Personal%20Learning%20Edition/plugins/com.anylogic.graphics3d_8.8.6.202312140457/static/init.js (271)
